1,5,44
2,6,36
3,7,43
4,8,26
5,1,44
5,6,40
5,10,30
6,2,36
6,5,40
6,7,26
7,3,43
7,6,26
7,11,36
8,4,26
8,9,52
8,12,48
9,8,52
9,16,91
10,5,30
10,11,69
10,13,36
11,7,36
11,10,69
11,12,40
11,14,35
12,8,48
12,11,40
12,15,42
13,10,36
13,14,66
13,17,10
13,29,89
14,11,35
14,13,66
14,18,23
15,12,42
15,16,58
15,19,19
16,9,91
16,15,58
16,21,19
17,13,10
17,18,66
18,14,23
18,17,66
18,25,48
19,15,19
19,20,31
19,23,26
20,19,31
20,21,24
20,24,31
21,16,19
21,20,24
21,22,82
22,21,82
22,21,50
23,19,26
23,24,37
23,25,59
24,20,31
24,23,37
24,26,23
25,18,48
25,23,59
25,29,112
26,24,23
26,27,91
26,32,22
27,22,50
27,26,91
28,29,30
29,13,59
29,25,112
29,30,28
30,29,28
30,31,103
30,33,27
31,30,103
31,32,27
31,34,54
32,26,22
32,31,27
33,30,27
33,37,18
34,31,54
34,35,30
35,34,30
35,38,40
35,36,91
36,35,91
37,33,18
38,35,40
